date,depot,categorie,produit,quantite,prix_unitaire,montant
2024-01-01,Casablanca,Laitiers,Lait en poudre 2.5kg,1,168.0,168.0
2024-01-01,Marrakech,Biscuiterie,Gaufrettes chocolat x48,4,134.0,536.0
2024-01-01,Casablanca,Thés & Cafés,Café moulu 1kg,5,125.0,625.0
2024-01-01,Casablanca,Boissons,Jus d'orange 1L x12,5,105.0,525.0
2024-01-01,Casablanca,Biscuiterie,Chocolat tablette 100g x50,75,209.0,15675.0
2024-01-01,Marrakech,Conserves,Thon entier à l'huile x24,10,432.0,4320.0
2024-01-01,Casablanca,Huiles,Huile de tournesol 5L,6,92.0,552.0
2024-01-02,Marrakech,Farines,Farine de blé T55 25kg,8,172.0,1376.0
2024-01-02,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),3,27.0,81.0
2024-01-02,Rabat,Thés & Cafés,Thé vert gunpowder 1kg,7,88.0,616.0
2024-01-02,Marrakech,Biscuiterie,Chocolat tablette 100g x50,8,220.0,1760.0
2024-01-02,Marrakech,Sucres,Sucre granulé 50kg,6,355.0,2130.0
2024-01-02,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,5,360.0,1800.0
2024-01-03,Marrakech,Condiments,Sel de table 1kg x24,2,46.0,92.0
2024-01-03,Casablanca,Condiments,Épices ras el hanout 500g x10,3,148.0,444.0
2024-01-03,Marrakech,Légumineuses,Lentilles vertes 1kg x12,3,126.0,378.0
2024-01-03,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,5,245.0,1225.0
2024-01-03,Marrakech,Laitiers,Lait en poudre 2.5kg,17,159.6,2713.2
2024-01-03,Marrakech,Conserves,Tomate concentrée 4.5kg x6,6,240.0,1440.0
2024-01-03,Casablanca,Farines,Farine de blé T45 10kg,95,71.25,6768.75
2024-01-03,Rabat,Riz & Pâtes,Couscous moyen 25kg,8,255.0,2040.0
2024-01-03,Marrakech,Biscuiterie,Chocolat tablette 100g x50,1,220.0,220.0
2024-01-03,Rabat,Laitiers,Beurre 200g x40,5,296.0,1480.0
2024-01-03,Rabat,Condiments,Épices ras el hanout 500g x10,2,148.0,296.0
2024-01-03,Casablanca,Conserves,Thon entier à l'huile x24,4,432.0,1728.0
2024-01-03,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,5,245.0,1225.0
2024-01-03,Casablanca,Sucres,Sucre granulé 50kg,23,337.25,7756.75
2024-01-03,Casablanca,Laitiers,Lait en poudre 2.5kg,4,168.0,672.0
2024-01-03,Rabat,Laitiers,Fromage fondu x48,2,158.0,316.0
2024-01-03,Rabat,Légumineuses,Haricots blancs 1kg x12,2,122.0,244.0
2024-01-03,Casablanca,Riz & Pâtes,Couscous moyen 25kg,1,255.0,255.0
2024-01-03,Marrakech,Riz & Pâtes,Couscous moyen 25kg,5,255.0,1275.0
2024-01-03,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,11,160.0,1760.0
2024-01-04,Rabat,Condiments,Épices ras el hanout 500g x10,12,148.0,1776.0
2024-01-04,Marrakech,Huiles,Huile d'olive extra vierge 1L,3,89.0,267.0
2024-01-04,Casablanca,Sucres,Sucre granulé 50kg,12,355.0,4260.0
2024-01-04,Casablanca,Huiles,Huile d'olive extra vierge 1L,5,89.0,445.0
2024-01-04,Marrakech,Farines,Farine de blé T55 25kg,7,172.0,1204.0
